Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer
Easy,Welke van deze dieren is het snelste?,Jachtluipaard,Puma,Leeuw,Wolf,Jachtluipaard
Easy,"In Nederland is het meest voorkomende boerderijdier...",Koe,Kip,Varken,Eend,Kip
Easy,Welke van deze dieren zegt 'miauw'?,Hond,Kat,Koe,Paard,Kat
Easy,Welke dier staat bekend als 'de beste vriend van de mens'?,Konijn,Paard,Hond,Geit,Hond
Easy,Welke vogel staat bekend om het nabootsen van menselijke spraak?,Papegaai,Pinguïn,Uil,Duif,Papegaai
Easy,Welke kleur hebben de meeste ijsberen?,Wit,Bruin,Zwart,Grijs,Wit
Easy,Welke van deze dieren legt eieren?,Kat,Kip,Schaap,Koe,Kip
Easy,Wat produceren bijen?,Zijde,Suiker,Honing,Melk,Honing
Easy,Welke zeedier heeft 8 poten?,Krab,Haai,Octopus,Zeepaardje,Octopus
Easy,Welke dier staat bekend om het bouwen van dammen?,Otter,Mol,Bever,Das,Bever
Normal,Welke dier kan staand slapen?,Hond,Paard,Giraffe,Kangoeroe,Paard
Normal,Wat slaan kamelen op in hun bulten?,Water,Vet,Spieren,Lucht,Vet
Normal,Welke vogel heeft de grootste spanwijdte?,Albatros,Adelaar,Ooievaar,Gier,Albatros
Normal,Welke dier is de enige bekende roofdier van de grote witte haai?,Orka,Reuzeninktvis,Tijgerhaai,Potvis,Orka
Normal,Hoeveel poten heeft een kreeft?,6,8,10,12,10
Normal,Welke dier staat bekend om te lachen wanneer gekieteld?,Aap,Rat,Hond,Kat,Rat
Normal,Welke van deze dieren heeft blauw bloed?,Paard,Octopus,Pinguïn,Kameel,Octopus
Normal,Welke zoogdier heeft geen stembanden?,Luiaard,Giraffe,Dolfijn,Walvis,Giraffe
Normal,Welke vogel staat bekend om het stelen van glanzende voorwerpen?,Kraai,Ekster,Mus,Duif,Ekster
Normal,Wat is het hoofdvoedsel van de reuzenpanda?,Bamboe,Gras,Eucalyptus,Fruit,Bamboe
Hard,Welke dier staat bekend als biologisch onsterfelijk onder laboratoriumomstandigheden?,Axolotl,Onsterfelijke kwal,Hydra,Zeepons,Onsterfelijke kwal
Hard,"Welke insect heeft de snelste vleugelslag, tot 62.760 keer per minuut?",Mug,Mugje,Mug,Honigbij,Mugje
Hard,Wat is het enige zoogdier dat in staat is tot duurzame glijvluchten van meer dan 100 meter?,Vliegende maki,Sugar glider,Vliegende eekhoorn,Rode colobus,Vliegende maki
Hard,Welke dier heeft de meest complexe ogen in het dierenrijk?,Bidsprinkhaankreeft,Libelle,Uil,Inktvis,Bidsprinkhaankreeft
Hard,Hoeveel harten heeft een regenworm?,1,3,5,7,5
Hard,Welke zoogdier heeft de dichtste vacht in het dierenrijk?,Zeeotter,IJsbeer,Zeehond,Poolvos,Zeeotter
Hard,Welke dier kan bevriezen in de winter en ontdooien in de lente?,Poolhaas,Boomkikker,Salamander,Gecko,Boomkikker
Hard,Welke dier heeft de grootste ogen in het dierenrijk?,Reuzeninktvis,Walvishaai,Uil,Blauwe vinvis,Reuzeninktvis
Hard,Welke vogel slaapt tijdens het vliegen tijdens lange migraties?,Albatros,Gierzwaluw,Kraanvogel,Papegaaiduiker,Gierzwaluw
Hard,Welke schepsel heeft een tong langer dan zijn lichaam?,Miereneter,Specht,Kameleon,Kikker,Kameleon 
